연번,기관명,과수(전체),센터수,과수(감독전체),과수(근로전체),과수(산안전체),전체정원,감독관,근로,산안,관할시군구수,인구수,사업체수,종사자수,신고사건접수건수,신고사건처리건수,평균처리일,지연처리율(%),감시단속적근로자적용제외승인,특별연장근로인가건수,노사협의회및노조설립·변경·해산신고건수,취업규칙심사건수,퇴직연금규약접수건수,15세미만취직인허18세미만야간·휴일근로 인가,임산부야간휴일근로인가,파견사업인가,최저임금적용제외인가,사내공동근로복지기금인가,우리사주조합설립및해산신고,근로감독건수,정기감독실시업체,수시감독실시업체,특별감독실시업체,사업장감독결과금품청산법위반건수,"근로시간위반건수(제50조,제53조)",휴가위반건수(제60조),근로조건미명시건수,부당노동행위위반(제81조),직장내괴롭힘적발건수,현장점검횟수,현장점검의날지도건수,교육·컨설팅횟수,안전보건감독건수,안전보건진단·개선계획수립명령건수(진단),안전보건진단·개선계획수립명령건수(개선계획),안전인증·안전검사·유해위험방지계획서조치건수(안정인증),안전인증·안전검사·유해위험방지계획서조치건수(안전검사),안전인증·안전검사·유해위험방지계획서조치건수(위해위험방지계획서),산업재해조사표입력건수,점검·감독,점검·감독현황(위반사업장),점검·감독현황(행정조치),점검·감독현황(사법조치),중대재해,중대산업사고,중대재해 작업중지,사고재해자수,사망만인율,사고사망만인율,부상자수,재해자수,재해율
1,서울청,17,2,8,5,3,297,146,111,35,4,1007159,96342,1118883,11789,10863,38,11,453,113,118,1883,19388,36,106,176,28,97,10,1357,1136,221,,430,28,7,834,,,1764,189,13,478,2,,2,19,2,2019,478,235,234,52,78,,5,2634,0,0,2617,3024,0.3
2,서울강남지청,8,1,5,4,1,161,88,80,8,1,556506,60696,730965,12226,10923,52,19,269,50,51,1774,15324,59,147,104,28,82,12,865,741,124,,353,30,4,322,,,1074,73,7,338,2,,1,6,4,1402,338,133,133,11,9,,5,1693,0,0,1674,1895,0.3
3,서울동부지청,8,2,4,3,1,187,82,72,10,4,1750181,73619,735728,10836,9914,39,10,436,51,47,1295,14526,136,103,149,77,73,6,749,656,93,,52,13,2,418,,,1883,154,1,433,1,,1,26,2,2326,433,144,142,27,23,,4,2858,1,0,2831,3834,0.5
4,서울서부지청,7,1,4,3,1,176,71,63,8,4,1323643,52899,528901,8233,7513,50,14,345,117,68,952,11119,84,82,87,50,36,3,642,582,59,1,231,8,4,247,,,1296,73,1,330,2,,1,7,8,1239,330,94,94,12,14,,7,1978,1,0,1959,2287,0.5
5,서울남부지청,8,2,4,3,1,180,75,66,9,3,1353895,60319,719842,9804,9153,35,9,392,76,107,1135,12537,77,137,182,79,50,11,745,620,125,,134,4,5,454,,,1062,58,14,316,2,1,2,21,5,1715,316,140,140,5,4,,2,2173,1,0,2153,2470,0.4
6,서울북부지청,8,2,4,3,1,160,54,46,8,5,1872139,43328,350066,6667,6258,39,9,331,34,23,553,7413,46,99,34,36,13,0,500,405,95,,336,5,0,367,,,1289,66,13,441,4,1,,11,2,1077,441,144,143,38,15,,4,1909,1,0,1899,2104,0.6
7,서울관악지청,7,1,4,3,1,202,75,67,8,4,1464519,63504,580994,10045,9382,35,9,316,49,41,1274,13289,52,68,144,78,56,12,829,676,153,,267,3,6,522,,,1637,50,6,372,1,,,25,7,1272,372,131,131,31,15,,5,2061,0,0,2045,2341,0.4
8,중부청,16,1,8,5,3,263,131,75,56,6,1713332,58023,534171,11516,10584,43,10,327,263,43,939,10921,103,120,79,48,28,4,848,746,102,,414,39,5,442,1,2,2853,181,17,920,21,18,6,225,20,3349,920,600,600,109,136,,18,3446,1,0,3417,3959,0.7
9,인천북부지청,7,2,4,3,1,167,69,55,14,4,1323717,46944,396227,9867,8975,40,11,311,364,23,798,9498,78,68,93,40,12,3,689,566,123,,309,10,8,409,,,2894,151,1,520,19,,6,158,5,2311,520,246,246,29,39,,15,3020,1,1,2982,3467,0.8
10,부천지청,7,2,4,3,1,155,61,50,11,2,1249889,55733,401360,9552,8754,36,8,211,139,19,871,11292,77,76,82,25,32,0,625,503,122,,526,22,3,504,,,2517,118,1,490,8,,5,155,14,2444,490,270,270,18,29,,16,2693,1,1,2668,3030,0.8
